,date,state,fips,cases,deaths,new_deaths,new_cases
586,2020-03-13,Alabama,1,6,0,0.0,0.0
637,2020-03-14,Alabama,1,12,0,0.0,6.0
689,2020-03-15,Alabama,1,23,0,0.0,11.0
742,2020-03-16,Alabama,1,29,0,0.0,6.0
795,2020-03-17,Alabama,1,39,0,0.0,10.0
849,2020-03-18,Alabama,1,51,0,0.0,12.0
903,2020-03-19,Alabama,1,78,0,0.0,27.0
957,2020-03-20,Alabama,1,106,0,0.0,28.0
1011,2020-03-21,Alabama,1,131,0,0.0,25.0
1065,2020-03-22,Alabama,1,157,0,0.0,26.0
1119,2020-03-23,Alabama,1,196,0,0.0,39.0
1173,2020-03-24,Alabama,1,242,0,0.0,46.0
1227,2020-03-25,Alabama,1,386,1,1.0,144.0
1281,2020-03-26,Alabama,1,538,3,2.0,152.0
1335,2020-03-27,Alabama,1,639,4,1.0,101.0
1389,2020-03-28,Alabama,1,720,4,0.0,81.0
1444,2020-03-29,Alabama,1,830,5,1.0,110.0
1499,2020-03-30,Alabama,1,947,11,6.0,117.0
1554,2020-03-31,Alabama,1,999,14,3.0,52.0
1609,2020-04-01,Alabama,1,1108,28,14.0,109.0
1664,2020-04-02,Alabama,1,1270,32,4.0,162.0
1719,2020-04-03,Alabama,1,1535,38,6.0,265.0
1774,2020-04-04,Alabama,1,1632,44,6.0,97.0
1829,2020-04-05,Alabama,1,1840,45,1.0,208.0
1884,2020-04-06,Alabama,1,2005,53,8.0,165.0
1939,2020-04-07,Alabama,1,2197,64,11.0,192.0
1994,2020-04-08,Alabama,1,2498,67,3.0,301.0
2049,2020-04-09,Alabama,1,2838,78,11.0,340.0
2104,2020-04-10,Alabama,1,3008,80,2.0,170.0
2159,2020-04-11,Alabama,1,3262,93,13.0,254.0
2214,2020-04-12,Alabama,1,3583,93,0.0,321.0
2269,2020-04-13,Alabama,1,3805,104,11.0,222.0
2324,2020-04-14,Alabama,1,3953,114,10.0,148.0
2379,2020-04-15,Alabama,1,4241,123,9.0,288.0
2434,2020-04-16,Alabama,1,4404,137,14.0,163.0
2489,2020-04-17,Alabama,1,4572,151,14.0,168.0
2544,2020-04-18,Alabama,1,4723,147,-4.0,151.0
